variable,missing_count,missing_percent
SC002Q01TA,863,100
SC002Q02TA,863,100
SC018Q01TA01,863,100
SC018Q01TA02,863,100
SC018Q02TA01,863,100
SC018Q02TA02,863,100
SC018Q08JA01,863,100
SC018Q08JA02,863,100
SC018Q09JA01,863,100
SC018Q09JA02,863,100
SC018Q10JA01,863,100
SC018Q10JA02,863,100
SC182Q01WA01,863,100
SC182Q01WA02,863,100
SC182Q06WA01,863,100
SC182Q06WA02,863,100
SC182Q07JA01,863,100
SC182Q07JA02,863,100
SC182Q08JA01,863,100
SC182Q08JA02,863,100
SC182Q09JA01,863,100
SC182Q09JA02,863,100
SC182Q10JA01,863,100
SC182Q10JA02,863,100
SC168Q01JA,863,100
SC168Q02JA,863,100
SC168Q03JA,863,100
SC168Q04JA,863,100
SC004Q01TA,863,100
SC176Q01JA,863,100
SC003Q01TA,863,100
SCHSIZE,863,100
TOTAT,863,100
STRATIO,863,100
TOTMATH,863,100
SMRATIO,863,100
TOTSTAFF,863,100
SCHAUTO,863,100
TCHPART,863,100
EDULEAD,863,100
INSTLEAD,863,100
DIGDVPOL,863,100
DMCVIEWS,863,100
STAFFSHORT,863,100
MCLSIZE,863,100
CLSIZE,863,100
BCREATSC,863,100
ACTCRESC,863,100
PROPAT6,569,65.93
SC181Q01JA,559,64.77
SC181Q03JA,549,63.62
SC181Q02JA,542,62.8
MATHEXC,538,62.34
SC219Q01JA,254,29.43
SC220Q01JA,254,29.43
SC214Q03JA,211,24.45
SC214Q02JA,210,24.33
SC215Q07JA,199,23.06
SC222Q01JA,197,22.83
SC222Q05JA,197,22.83
SC222Q02JA,196,22.71
SC223Q04JA,196,22.71
SC215Q05JA,195,22.6
SC215Q08JA,195,22.6
SC223Q08JA,195,22.6
SC222Q03JA,194,22.48
SC223Q05JA,194,22.48
SC223Q07JA,194,22.48
SC223Q09JA,194,22.48
SC215Q01JA,193,22.36
SC215Q04JA,193,22.36
SC217Q04JA,193,22.36
SC217Q06JA,193,22.36
SC217Q07JA,193,22.36
SC222Q04JA,193,22.36
SC223Q01JA,193,22.36
SC223Q02JA,193,22.36
SC223Q03JA,193,22.36
SC223Q06JA,193,22.36
SC223Q10JA,193,22.36
SCSUPRTED,193,22.36
SCSUPRT,193,22.36
SCPREPBP,193,22.36
SCPREPAP,193,22.36
SC214Q01JA,192,22.25
SC215Q06JA,192,22.25
SC216Q04JA,192,22.25
SC216Q05JA,192,22.25
SC217Q01JA,192,22.25
SC217Q05JA,192,22.25
SC217Q08JA,192,22.25
SC217Q10JA,192,22.25
SC221Q02JA,192,22.25
SC221Q04JA,192,22.25
SC216Q01JA,191,22.13
SC216Q07JA,191,22.13
SC216Q08JA,191,22.13
SC217Q02JA,191,22.13
SC217Q03JA,191,22.13
SC221Q01JA,191,22.13
SC221Q03JA,191,22.13
SC215Q02JA,190,22.02
SC215Q03JA,190,22.02
SC216Q02JA,190,22.02
SC216Q03JA,190,22.02
SC216Q06JA,190,22.02
SC216Q09JA,190,22.02
PROBSCRI,190,22.02
RATCMP1,188,21.78
SC218Q01JA,187,21.67
RATCMP2,167,19.35
SC035Q04TA,164,19
SC035Q03TA,163,18.89
SC035Q02TA,161,18.66
PROATCE,161,18.66
SC035Q08TA,157,18.19
SC035Q09NA,157,18.19
SC035Q07TA,156,18.08
SC035Q11NA,156,18.08
SC035Q01NA,154,17.84
SC035Q06TA,154,17.84
SC210Q01JA,152,17.61
SC170Q01JA,152,17.61
SC035Q10TA,150,17.38
SC035Q05TA,147,17.03
STDTEST,147,17.03
PROPAT8,143,16.57
RATTAB,140,16.22
SC211Q06JA,139,16.11
SC213Q02JA,136,15.76
SC035Q05TB,135,15.64
SC064Q07WA,134,15.53
SC035Q10TB,132,15.3
SC035Q04TB,129,14.95
SC035Q08TB,129,14.95
SC035Q03TB,128,14.83
SC035Q07TB,128,14.83
SC064Q04NA,127,14.72
SC035Q06TB,127,14.72
SC213Q01JA,125,14.48
PROPAT7,125,14.48
SC035Q09NB,124,14.37
SC035Q11NB,124,14.37
SC053Q05NA,123,14.25
SC035Q02TB,123,14.25
SC195Q04JA,122,14.14
SC178Q01JA,121,14.02
SC178Q02JA,121,14.02
SC016Q04TA,120,13.9
SC204Q01JA,120,13.9
SC204Q02JA,120,13.9
SC208Q01JA,120,13.9
SC208Q07JA,120,13.9
PROOSTAF,120,13.9
TDTEST,120,13.9
SC035Q01NB,119,13.79
SC188Q03JA,119,13.79
SC188Q07JA,119,13.79
SC188Q09JA,119,13.79
SC171Q01JA,119,13.79
SC205Q05JA,119,13.79
SC208Q06JA,119,13.79
SC208Q08JA,119,13.79
SC155Q10HA,119,13.79
SC064Q02TA,118,13.67
SC064Q03TA,118,13.67
