variable,label,value_labels,type,missing_count,missing_percent
CREACTIV,Creative extra-curricular activities (3 activities),0 = No creative extra-curricular activities offered; 1 = 1 creative extra-curricular activity offered; 2 = 2 creative extra-curricular activities offered; 3 = 3 creative extra-curricular activities offered; 5 = Valid Skip; 7 = Not Applicable; 8 = Invalid; 9 = No Response,"haven_labelled, vctrs_vctr, double",106,12.28
SC053D11TA,"<This academic year>,follow. activities/school offers<national modal grade for 15-year-olds>? <country specific item>","3000001 = Greece :  Environmental education program, health education or career guidance-Yes; 4000001 = Jordan :  Quran and poetry memorization contest-Yes; 6000001 = Paraguay : Does school offer this school yr: Literary Arts-Yes; 4100001 = Korea :  Creative education(Maker education, invention class etc)-Yes; 3200001 = Guatemala : Does school offer this school yr: competitions between schools-Yes; 6200001 = Portugal :  European Projects Club (eg Leonardo Da Vinci, Comenius)-Yes; 0400001 = Austria : Activities that refer to living in a multicultural society (intercultural competence, antidiscrimination)-Yes; 2500001 = France :  Environmental activities-Yes; 3600001 = Indonesia :  Scouts-Yes; 8600001 = Uzbekistan :  Dancing club or Dancing activities-Yes; 1700001 = Colombia :  Dance groups-Yes; 4700001 = Malta :  Scout group-Yes; 5910001 = Panama :  Lectures and/or seminars (e.g. guest speakers such as writers or journalists)-Yes; 2220001 = El Salvador :  Parish schoolar service gropus-Yes; 0320001 = Argentina :  Conferences and/or seminars (with guest speakers, e.g. authors, journalists)-Yes; 6420001 = Romania :  School/high school open day-Yes; 1520001 = Chile :  Religious activities.-Yes; 3520001 = Iceland :  Talks/lectures and/or seminars (held by guests, e.g. authors or journalists)-Yes; 3720001 = Ireland :  Student governance (e.g. student council or Green-Schools committee)-Yes; 6820001 = Saudi Arabia :  Public speaking competitions-Yes; 3920001 = Japan :  Activities of traditional performing arts (e.g. Wadaiko, Classical Japanese Dances)-Yes; 7920001 = Türkiye :  Folk dance-Yes; 2030001 = Czech Republic :  Collaboration with foreign schools-Yes; 7030001 = Slovak Republic :  Club with activities focused on the website creating and programming-Yes; 2330001 = Estonia :  Dance (folk dance, ballroom dance)-Yes; 3830001 = Kosovo :  Book club-Yes; 5040001 = Morocco :  Cultural contests-Yes; 7040001 = Viet Nam : Does school offer this school yr: Intel ISEF-Yes; 8040001 = Ukraine :  Small Academy of Science 'Mathematical Domain'-Yes; 2140001 = Dominican Republic :  Religious activities-Yes; 1240001 = Canada :  School radio-Yes; 7240001 = Spain :  Cooperation with local libraries-Yes; 6340001 = Qatar :  Qatar diabetes day-Yes; 3440001 = Hong Kong (China) :  Study tours outside Hong Kong-Yes; 5540001 = New Zealand :  Cultural groups (e.g. Kapa Haka)-Yes; 7640001 = Thailand :  School activities in a special occasion days, e.g. Buddhist Lent Day, Loy Kratong Day etc.-Yes; 4840001 = Mexico :  Projects related to economic activities (e.g., entrepreneur projects, professional links, etc.)-Yes; 7840001 = United Arab Emirates :  Environmental club-Yes; 7050001 = Slovenia :  Courses of foreign languages.-Yes; 2750001 = Palestinian Authority :  Quran and poetry memorization contests-Yes; 1160001 = Cambodia : Does school offer this school yr: Study club-Yes; 6160001 = Poland :  Scout troop-Yes; 0360001 = Australia :  Work experience-Yes; 2460001 = Finland :  Information Technology Club-Yes; 4460001 = Macao (China) :  Science or robot club-Yes; 0560001 = Belgium :  Fair day, open door day, yearly spectacle-Yes; 7560001 = Switzerland :  Activities with regard to sustainable development-Yes; 0760001 = Brazil :  Conferences or seminars (eg. Invited authors or journalists)-Yes; 2760001 = Germany :  School garden-Yes; 0960001 = Brunei Darussalam :  National event e.g. His Majesty's Birthday, National Day, Islamic religious event-Yes; 1960001 = Cyprus :  Dance club-Yes; 4960001 = Mongolia :  National wrestling-Yes; 8070001 = North Macedonia :  National Technics Club-Yes; 8270001 = United Kingdom (Excl. Scotland) :  Science competitions and awards e.g. Olympiads, CREST Awards-Yes; 0080001 = Albania :  Tow rope-Yes; 2080001 = Denmark :  Lectures and/or seminars (guest speakers such as authors or journalists)-Yes; 6080001 = Philippines :  Educational trip/tours-Yes; 4280001 = Latvia :  Project week-Yes; 8280001 = United Kingdom (Scotland) :  School club or school competitions for foreign languages-Yes; 3480001 = Hungary :  (If your school doesn't have a high school course, please answer for 8th grade students!) Academic club-Yes; 4580001 = Malaysia :  Uniform Society-Yes; 8580001 = Uruguay :  Robotics and/or programming workshops-Yes; 2680001 = Georgia :  Visits to historic places-Yes; 5780001 = Norway :  Homework assistance-Yes; 1880001 = Costa Rica :  Any national, ministerial, municipal or communal project that involves students-Yes; 3880001 = Jamaica :  National STEM Competition-Yes; 6880001 = Serbia :  Literary club-Yes; 3980001 = Kazakhstan :  Ecological club-Yes; 4980001 = Republic of Moldova :  Festivals, expositions, contests-Yes; 4990001 = Montenegro :  Young environmentalists-Yes; 3000002 = Greece :  Environmental education program, health education or career guidance-No; 4000002 = Jordan :  Quran and poetry memorization contest-No; 6000002 = Paraguay : Does school offer this school yr: Literary Arts-No; 4100002 = Korea :  Creative education(Maker education, invention class etc)-No; 3200002 = Guatemala : Does school offer this school yr: competitions between schools-No; 6200002 = Portugal :  European Projects Club (eg Leonardo Da Vinci, Comenius)-No; 0400002 = Austria : Activities that refer to living in a multicultural society (intercultural competence, antidiscrimination)-No; 2500002 = France :  Environmental activities-No; 3600002 = Indonesia :  Scouts-No; 8600002 = Uzbekistan :  Dancing club or Dancing activities-No; 1700002 = Colombia :  Dance groups-No; 4700002 = Malta :  Scout group-No; 5910002 = Panama : Lectures and/or seminars (e.g. guest speakers such as writers or journalists)-No; 2220002 = El Salvador :  Parish schoolar service gropus-No; 0320002 = Argentina :  Conferences and/or seminars (with guest speakers, e.g. authors, journalists)-No; 6420002 = Romania :  School/high school open day-No; 1520002 = Chile :  Religious activities.-No; 3520002 = Iceland :  Talks/lectures and/or seminars (held by guests, e.g. authors or journalists)-No; 3720002 = Ireland :  Student governance (e.g. student council or Green-Schools committee)-No; 6820002 = Saudi Arabia :  Public speaking competitions-No; 3920002 = Japan :  Activities of traditional performing arts (e.g. Wadaiko, Classical Japanese Dances)-No; 7920002 = Türkiye :  Folk dance-No; 2030002 = Czech Republic :  Collaboration with foreign schools-No; 7030002 = Slovak Republic :  Club with activities focused on the website creating and programming-No; 2330002 = Estonia :  Dance (folk dance, ballroom dance)-No; 3830002 = Kosovo :  Book club-No; 5040002 = Morocco :  Cultural contests-No; 7040002 = Viet Nam : Does school offer this school yr: Intel ISEF-No; 8040002 = Ukraine :  Small Academy of Science 'Mathematical Domain'-No; 2140002 = Dominican Republic :  Religious activities-No; 1240002 = Canada :  School radio-No; 7240002 = Spain :  Cooperation with local libraries-No; 6340002 = Qatar :  Qatar diabetes day-No; 3440002 = Hong Kong (China) :  Study tours outside Hong Kong-No; 5540002 = New Zealand :  Cultural groups (e.g. Kapa Haka)-No; 7640002 = Thailand :  School activities in a special occasion days, e.g. Buddhist Lent Day, Loy Kratong Day etc.-No; 4840002 = Mexico :  Projects related to economic activities (e.g., entrepreneur projects, professional links, etc.)-No; 7840002 = United Arab Emirates :  Environmental club-No; 7050002 = Slovenia :  Courses of foreign languages.-No; 2750002 = Palestinian Authority :  Quran and poetry memorization contests-No; 1160002 = Cambodia : Does school offer this school yr: Study club-No; 6160002 = Poland :  Scout troop-No; 0360002 = Australia :  Work experience-No; 2460002 = Finland :  Information Technology Club-No; 4460002 = Macao (China) :  Science or robot club-No; 0560002 = Belgium :  Fair day, open door day, yearly spectacle-No; 7560002 = Switzerland :  Activities with regard to sustainable development-No; 0760002 = Brazil :  Conferences or seminars (eg. Invited authors or journalists)-No; 2760002 = Germany :  School garden-No; 0960002 = Brunei Darussalam :  National event e.g. His Majesty's Birthday, National Day, Islamic religious event-No; 1960002 = Cyprus :  Dance club-No; 4960002 = Mongolia :  National wrestling-No; 8070002 = North Macedonia :  National Technics Club-No; 8270002 = United Kingdom (Excl. Scotland) :  Science competitions and awards e.g. Olympiads, CREST Awards-No; 0080002 = Albania :  Tow rope-No; 2080002 = Denmark :  Lectures and/or seminars (guest speakers such as authors or journalists)-No; 6080002 = Philippines :  Educational trip/tours-No; 4280002 = Latvia :  Project week-No; 8280002 = United Kingdom (Scotland) :  School club or school competitions for foreign languages-No; 3480002 = Hungary :  (If your school doesn't have a high school course, please answer for 8th grade students!) Academic club-No; 4580002 = Malaysia :  Uniform Society-No; 8580002 = Uruguay :  Robotics and/or programming workshops-No; 2680002 = Georgia :  Visits to historic places-No; 5780002 = Norway :  Homework assistance-No; 1880002 = Costa Rica :  Any national, ministerial, municipal or communal project that involves students-No; 3880002 = Jamaica :  National STEM Competition-No; 6880002 = Serbia :  Literary club-No; 3980002 = Kazakhstan :  Ecological club-No; 4980002 = Republic of Moldova :  Festivals, expositions, contests-No; 4990002 = Montenegro :  Young environmentalists-No; 9999997 = Not Applicable; 9999998 = Invalid; 9999999 = Missing","haven_labelled, vctrs_vctr, character",0,0
MATHEXC,Mathematics extension courses offered at school,0 = None; 1 = Mathematics extension courses offered without differentiation depending on the prior achievement level of the students; 2 = Mathematics extension courses offered for enrichment or remediation; 3 = Mathematics extension courses offered for enrichment and remediation; 5 = Valid Skip; 7 = Not Applicable; 8 = Invalid; 9 = No Response,"haven_labelled, vctrs_vctr, double",538,62.34
MACTIV,Mathematics-related extra-curricular activities at school,0 = No mathematics-related extra-curricular activities offered; 1 = 1 mathematics-related extra-curricular activity offered; 2 = 2 mathematics-related extra-curricular activities offered; 3 = 3 mathematics-related extra-curricular activities offered; 4 = 4 mathematics-related extra-curricular activities offered; 5 = 5 mathematics-related extra-curricular activities offered; 95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double",110,12.75
RATCMP1,Availability of computers,95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double",188,21.78
RATTAB,Availability of tablet devices,95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double",140,16.22
RATCMP2,Computers connected to the Internet,95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double",167,19.35
PROPSUPP,Proportion of personnel for pedagogical support,95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double",92,10.66
PROADMIN,Proportion of school administrative personnel,95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double",89,10.31
PROMGMT,Proportion of school management personnel,95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double",86,9.97
