variable,missing_count,missing_percent
CREACTIV,106,12.28
SC053D11TA,0,0
MATHEXC,538,62.34
MACTIV,110,12.75
RATCMP1,188,21.78
RATTAB,140,16.22
RATCMP2,167,19.35
PROPSUPP,92,10.66
PROADMIN,89,10.31
PROMGMT,86,9.97
PROOSTAF,120,13.9
SCHSIZE,863,100
SCHLTYPE,0,0
PRIVATESCH,0,0
STRATIO,863,100
SMRATIO,863,100
TOTMATH,863,100
TOTSTAFF,863,100
TOTAT,863,100
SCHSEL,78,9.04
SRESPCUR,81,9.39
SRESPRES,85,9.85
ABGMATH,111,12.86
CLSIZE,863,100
MCLSIZE,863,100
PROATCE,161,18.66
PROPAT6,569,65.93
PROPAT7,125,14.48
PROPAT8,143,16.57
PROPMATH,97,11.24
SCSUPRTED,193,22.36
SCSUPRT,193,22.36
NEGSCLIM,94,10.89
DMCVIEWS,863,100
STUBEHA,93,10.78
TEACHBEHA,93,10.78
ALLACTIV,109,12.63
EDUSHORT,93,10.78
STAFFSHORT,863,100
EDULEAD,863,100
INSTLEAD,863,100
SCHAUTO,863,100
TCHPART,863,100
DIGDVPOL,863,100
MTTRAIN,96,11.12
TEAFDBK,97,11.24
STDTEST,147,17.03
TDTEST,120,13.9
ENCOURPG,106,12.28
BCREATSC,863,100
ACTCRESC,863,100
CREENVSC,113,13.09
OPENCUL,117,13.56
PROBSCRI,190,22.02
SCPREPBP,193,22.36
SCPREPAP,193,22.36
DIGPREP,114,13.21
