variable,missing_count,missing_percent
AGE,0,0
GRADE,0,0
ST004D01T,42,0.18
ST003D02T,0,0
ST003D03T,0,0
ST001D01T,0,0
MISCED,1838,7.97
FISCED,2289,9.92
HISCED,1761,7.63
PAREDINT,1761,7.63
OCOD1,0,0
OCOD2,0,0
BMMJ1,5267,22.83
BFMJ2,6133,26.58
HISEI,3612,15.65
DURECEC,6943,30.09
ISCEDP,0,0
PROGN,0,0
REPEAT,1999,8.66
MISSSC,2724,11.81
SKIPPING,2201,9.54
TARDYSD,2281,9.89
EXPECEDU,6310,27.35
OCOD3,0,0
BSMJ,9873,42.79
SISCO,6286,27.24
COBN_S,0,0
COBN_M,0,0
COBN_F,0,0
IMMIG,2610,11.31
LANGN,0,0
MATHMOT,4150,17.99
MATHEASE,4168,18.06
MATHPREF,4123,17.87
EXERPRAC,2912,12.62
STUDYHMW,2887,12.51
WORKPAY,2998,12.99
WORKHOME,2944,12.76
ST250D06JA,0,0
ST250D07JA,0,0
ST251D08JA,0,0
ST251D09JA,0,0
ST330D10WA,0,0
HOMEPOS,1402,6.08
ICTRES,1424,6.17
INFOSEEK,5720,24.79
BULLIED,2973,12.89
FEELSAFE,2865,12.42
TEACHSUP,23073,100
RELATST,23073,100
SCHRISK,23073,100
BELONG,2942,12.75
GROSAGR,4067,17.63
ANXMAT,4239,18.37
MATHEFF,4660,20.2
MATHEF21,5014,21.73
MATHPERS,4891,21.2
FAMCON,4856,21.05
ASSERAGR,4300,18.64
COOPAGR,3923,17
CURIOAGR,3997,17.32
EMOCOAGR,4236,18.36
EMPATAGR,4055,17.57
PERSEVAGR,3809,16.51
STRESAGR,4294,18.61
EXPOFA,4803,20.82
EXPO21ST,5072,21.98
COGACRCO,4654,20.17
COGACMCO,4878,21.14
DISCLIM,3534,15.32
FAMSUP,5434,23.55
CREATFAM,5195,22.52
CREATSCH,5197,22.52
CREATEFF,4949,21.45
CREATOP,5108,22.14
IMAGINE,5329,23.1
OPENART,5231,22.67
CREATAS,5735,24.86
CREATOOS,6673,28.92
FAMSUPSL,8525,36.95
FEELLAH,12471,54.05
PROBSELF,8478,36.74
SDLEFF,8684,37.64
SCHSUST,7666,33.22
LEARRES,8460,36.67
ESCS,1677,7.27
